APPLICATION_ID,PROJECT_TITLE,IC_NAME,FY,TOTAL_COST,cluster,topic_label,title_short,funding_millions
8299327,Regulation of glucose metabolism by bone resorption and gamma-carboxylation,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2012.0,90000.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Regulation of glucose metabolism by bone resorption and gamma-carboxylation,0.09
9630167,A nanomagnetic platform technology to characterize traumatic brain injury using brain derived extracellular vesicles,NATIONAL INSTITUTE OF MENTAL HEALTH,2018.0,206809.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,A nanomagnetic platform technology to characterize traumatic brain injury using brain derived extracellular vesicles,0.21
6882696,Control of DNA replication in AIDS pathogen T. gondii.,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2005.0,280000.0,36,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Control of DNA replication in AIDS pathogen T. gondii.,0.28
10450025,Prospective impact of media use on sleep and obesity risk in preschoolers,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2022.0,136551.0,5,NATIONAL CANCER INSTITUTE: Clinical Research,Prospective impact of media use on sleep and obesity risk in preschoolers,0.14
6929258,The Intravitreal Corticosteroid for Macular Edema Study,NATIONAL EYE INSTITUTE,2005.0,2774454.0,11,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,The Intravitreal Corticosteroid for Macular Edema Study,2.77
7893863,Feeding & Transition to Home for Preterms at Social Risk,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2010.0,785287.0,12,NATIONAL CANCER INSTITUTE: Clinical Research,Feeding & Transition to Home for Preterms at Social Risk,0.79
9355553,IGF::OT::IGF SEER-LINKED VITUAL TISSUE REPOSITORY (VTR),NATIONAL CANCER INSTITUTE,2016.0,36773.0,2,FOOD AND DRUG ADMINISTRATION: Clinical Research,IGF::OT::IGF SEER-LINKED VITUAL TISSUE REPOSITORY (VTR),0.04
10383864,Novel peptide for enhancing diabetic wound healing,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2021.0,258589.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Novel peptide for enhancing diabetic wound healing,0.26
10926249,Targeting the MET Pathway in Urothelial Carcinoma,NATIONAL CANCER INSTITUTE,2023.0,326245.0,25,NATIONAL CANCER INSTITUTE: Clinical Research,Targeting the MET Pathway in Urothelial Carcinoma,0.33
9039294,Fuel Metabolism and insulin secretion in KATP-hyperinsulinism human islets,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2015.0,33042.0,26,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Fuel Metabolism and insulin secretion in KATP-hyperinsulinism human islets,0.03
6166332,NATURAL PRODUCTS DISCOVERY - NUCLEAR AND SIGNALING TARGE,NATIONAL CANCER INSTITUTE,2000.0,533165.0,43,NATIONAL CANCER INSTITUTE: Clinical Research,NATURAL PRODUCTS DISCOVERY - NUCLEAR AND SIGNALING TARGE,0.53
6681858,MOLECULAR AND CELLULAR ANALYSIS OF PRE-TCR FUNCTION,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2004.0,427500.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,MOLECULAR AND CELLULAR ANALYSIS OF PRE-TCR FUNCTION,0.43
9874195,Immune Correlates of Protection from TB,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2019.0,908608.0,34,NATIONAL CANCER INSTITUTE: Genetics,Immune Correlates of Protection from TB,0.91
8798549,Effect of ethanol on chondroitin sulfate proteoglycans: relevance to FASD,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,2015.0,13091.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Effect of ethanol on chondroitin sulfate proteoglycans: relevance to FASD,0.01
8286381,High-activity mutants of cocaine esterase for treatment of drug addiction,NATIONAL INSTITUTE ON DRUG ABUSE,2012.0,549174.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",High-activity mutants of cocaine esterase for treatment of drug addiction,0.55
8452603,Collaborative Advances in Clinical Health Education (CACHE),NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,2013.0,227815.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Collaborative Advances in Clinical Health Education (CACHE),0.23
10243460,Cancer Center Support Grant,NATIONAL CANCER INSTITUTE,2020.0,100000.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,Cancer Center Support Grant,0.1
9545159,Deciphering pachytene piRNA function,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2018.0,322000.0,20,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Deciphering pachytene piRNA function,0.32
10298178,Transcriptional networks establishing the precise gene expression states that define neurosensory cell identity in the inner ear,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2021.0,581813.0,21,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES: Neurosciences,Transcriptional networks establishing the precise gene expression states that define neurosensory cell identity in the i,0.58
6693849,IMMUNITY AND LATENCY TO CHLAMYDIAL INFECTIONS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2004.0,280293.0,40,NATIONAL CANCER INSTITUTE: Genetics,IMMUNITY AND LATENCY TO CHLAMYDIAL INFECTIONS,0.28
8862542,Reducing Particulate Matter-Associated Cardiovascular Health Effects for Seniors,NATIONAL INSTITUTE OF NURSING RESEARCH,2015.0,436854.0,17,NATIONAL CANCER INSTITUTE: Clinical Research,Reducing Particulate Matter-Associated Cardiovascular Health Effects for Seniors,0.44
7105459,Hearing in Noise With Improved Noise Reduction Foam,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2006.0,374233.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,Hearing in Noise With Improved Noise Reduction Foam,0.37
7264746,Molecular Analysis of the Segementation Clock,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2007.0,336683.0,40,NATIONAL CANCER INSTITUTE: Genetics,Molecular Analysis of the Segementation Clock,0.34
9445375,Amyloid Neuropathology Underlying Sleep-dependent Memory Decline in Older Adults,NATIONAL INSTITUTE ON AGING,2018.0,659844.0,21,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES: Neurosciences,Amyloid Neuropathology Underlying Sleep-dependent Memory Decline in Older Adults,0.66
9743446,Nucleus accumbens neuronal ensembles in drugs and natural rewards seeking.,NATIONAL INSTITUTE ON DRUG ABUSE,2019.0,188525.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Nucleus accumbens neuronal ensembles in drugs and natural rewards seeking.,0.19
10003814,The Role of Vascular Endothelial Glutaminase in Tumor Vessel Normalization and Response to Therapy,NATIONAL CANCER INSTITUTE,2020.0,30231.0,34,NATIONAL CANCER INSTITUTE: Genetics,The Role of Vascular Endothelial Glutaminase in Tumor Vessel Normalization and Response to Therapy,0.03
9604163,Mechanisms of tumorigenesis in Brg1 mutant lung cancer,NATIONAL CANCER INSTITUTE,2018.0,683713.0,38,NATIONAL CANCER INSTITUTE: Genetics,Mechanisms of tumorigenesis in Brg1 mutant lung cancer,0.68
6311050,SALMONELLA MUTAGENICITY STUDY USING MULTIPLE DATABASES,NATIONAL CANCER INSTITUTE,2001.0,87580.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,SALMONELLA MUTAGENICITY STUDY USING MULTIPLE DATABASES,0.09
8520088,Power Reduction of an Embedded Pattern Recognition Myoelectric Control System,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2013.0,150490.0,16,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Power Reduction of an Embedded Pattern Recognition Myoelectric Control System,0.15
10669215,Biophysical Control of Cell Form and Function by Single Actomyosin Stress Fibers,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2023.0,330630.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Biophysical Control of Cell Form and Function by Single Actomyosin Stress Fibers,0.33
10929939,Labeling cellular proteins for multi-scale microscopy and other applications,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2024.0,385000.0,32,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Labeling cellular proteins for multi-scale microscopy and other applications,0.38
10170188,APOE Orchestrated Molecular Signatures in Aging Brain and AD-the Contribution of APOE2,NATIONAL INSTITUTE ON AGING,2021.0,632773.0,38,NATIONAL CANCER INSTITUTE: Genetics,APOE Orchestrated Molecular Signatures in Aging Brain and AD-the Contribution of APOE2,0.63
8605809,Molecular mechanisms of GBM radioresistance and strategies for radiosensitization,NATIONAL CANCER INSTITUTE,2014.0,320027.0,20,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Molecular mechanisms of GBM radioresistance and strategies for radiosensitization,0.32
9481802,Host Response and Immunity to Yersenia pestis Infection,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2018.0,366637.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Host Response and Immunity to Yersenia pestis Infection,0.37
8120203,Gene Networks Essential to Colon Cancer Phenotype,NATIONAL CANCER INSTITUTE,2011.0,524632.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Gene Networks Essential to Colon Cancer Phenotype,0.52
9825003,n-3 Diglyceride Emulsions: Characterization of a Novel Neuroprotectant,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2019.0,462924.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",n-3 Diglyceride Emulsions: Characterization of a Novel Neuroprotectant,0.46
9251274,The role of endosomal sorting in regulating opioid receptor function,NATIONAL INSTITUTE ON DRUG ABUSE,2017.0,63690.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,The role of endosomal sorting in regulating opioid receptor function,0.06
10234399,Mapping and dissecting the role of antibodies in Mtb control,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2020.0,815165.0,34,NATIONAL CANCER INSTITUTE: Genetics,Mapping and dissecting the role of antibodies in Mtb control,0.82
9753348,1/2-Mechanisms of Antidepressant-Related Dysfunctional Arousal in High-Risk Youth,NATIONAL INSTITUTE OF MENTAL HEALTH,2019.0,517562.0,13,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,1/2-Mechanisms of Antidepressant-Related Dysfunctional Arousal in High-Risk Youth,0.52
8767585,Lipotoxic Effects of Maternal Diabetes and High Fat Diet on the Developing Heart,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2014.0,119710.0,21,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES: Neurosciences,Lipotoxic Effects of Maternal Diabetes and High Fat Diet on the Developing Heart,0.12
7787080,Molecular Physiology of Myotonia and Periodic Paralysis,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2010.0,379108.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Molecular Physiology of Myotonia and Periodic Paralysis,0.38
10666144,Center for the Assessment of Tobacco Regulations (CAsToR) TCORS 3.0,NATIONAL CANCER INSTITUTE,2023.0,4090435.0,15,NATIONAL INSTITUTE ON AGING: Clinical Research,Center for the Assessment of Tobacco Regulations (CAsToR) TCORS 3.0,4.09
6826819,Regulation of Endocytic Traffic in Kidney Cells,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2005.0,257550.0,20,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Regulation of Endocytic Traffic in Kidney Cells,0.26
7964553,G-Protein-Coupled Signal Transduction in Allergy and Anaphylaxis,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2009.0,71244.0,24,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Clinical Research,G-Protein-Coupled Signal Transduction in Allergy and Anaphylaxis,0.07
6799923,OPIOID RECEPTOR REGULATION,NATIONAL INSTITUTE ON DRUG ABUSE,2003.0,21594.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,OPIOID RECEPTOR REGULATION,0.02
6489348,MAP KINASE REGULATION OF SUBSTRATE PROTEINS,NATIONAL CANCER INSTITUTE,2002.0,254473.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,MAP KINASE REGULATION OF SUBSTRATE PROTEINS,0.25
7487945,Alternative Therapies for Alcohol and Drug Abuse,NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,2008.0,1107705.0,16,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Alternative Therapies for Alcohol and Drug Abuse,1.11
6945825,Specification of blood lineages in a vertebrate embryo,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2005.0,277643.0,22,NATIONAL CANCER INSTITUTE: Genetics,Specification of blood lineages in a vertebrate embryo,0.28
9429084,03/22 Diabetes Prevention Program Outcomes Study (DPPOS) Phase 3 - Research Project,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2018.0,340147.0,26,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,03/22 Diabetes Prevention Program Outcomes Study (DPPOS) Phase 3 - Research Project,0.34
7851315,Mitochondrial Toxicity of Antiviral Nucleosides,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2010.0,399854.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Mitochondrial Toxicity of Antiviral Nucleosides,0.4
9813755,Uncovering Two Novel Diabetes Drug Targets in the IDG,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2019.0,160667.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Uncovering Two Novel Diabetes Drug Targets in the IDG,0.16
9707937,ImageXpress Micro (IXM) Confocal High-content Imaging System,"OFFICE OF THE DIRECTOR, NATIONAL INSTITUTES OF HEALTH",2019.0,540802.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,ImageXpress Micro (IXM) Confocal High-content Imaging System,0.54
9910397,Mechanisms of retinal angiogenesis,NATIONAL EYE INSTITUTE,2020.0,342000.0,37,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Mechanisms of retinal angiogenesis,0.34
8898205,Mechanisms of lymphatic valve and pump dysfunction in lymphedema,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015.0,363561.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Mechanisms of lymphatic valve and pump dysfunction in lymphedema,0.36
10232440,The role of meningeal lymphatic vasculature in regulating immunity and intracranial pressure during central nervous system infection,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2021.0,51036.0,38,NATIONAL CANCER INSTITUTE: Genetics,The role of meningeal lymphatic vasculature in regulating immunity and intracranial pressure during central nervous syst,0.05
6757994,Regulation of Multidrug Resistance Phenotype,NATIONAL CANCER INSTITUTE,2004.0,233250.0,29,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Regulation of Multidrug Resistance Phenotype,0.23
6926667,REGULATION OF PTH ACTIVITY IN BONE BY BETA-ARRESTIN,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2005.0,263255.0,37,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",REGULATION OF PTH ACTIVITY IN BONE BY BETA-ARRESTIN,0.26
10811991,Eliminating the Immunogenicity of AAV Vectored HIV Antibody Delivery,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2024.0,822056.0,34,NATIONAL CANCER INSTITUTE: Genetics,Eliminating the Immunogenicity of AAV Vectored HIV Antibody Delivery,0.82
9385694,Targeting Ligands for autonomic uptake and drug delivery to the brain and spinal cord,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2017.0,193646.0,45,NATIONAL CANCER INSTITUTE: Biotechnology,Targeting Ligands for autonomic uptake and drug delivery to the brain and spinal cord,0.19
7599009,Interaction between host cells and multicomponent material matrix,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,2009.0,245322.0,46,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Biotechnology,Interaction between host cells and multicomponent material matrix,0.25
7745332,Familial Breast Cancer,NATIONAL CANCER INSTITUTE,2009.0,20000.0,8,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Cancer,Familial Breast Cancer,0.02
6788842,Base unpairing regions and chromatin folding,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2004.0,222945.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Base unpairing regions and chromatin folding,0.22
8249024,Microsurgical In-Situ Image Guidance with Optical Coherence Tomography,NATIONAL EYE INSTITUTE,2012.0,573849.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,Microsurgical In-Situ Image Guidance with Optical Coherence Tomography,0.57
9472084,Neural mechanisms of saccadic information seeking behavior,NATIONAL INSTITUTE OF MENTAL HEALTH,2017.0,80000.0,14,NATIONAL INSTITUTE OF MENTAL HEALTH: Neurosciences,Neural mechanisms of saccadic information seeking behavior,0.08
9461072,Structural bases of the functions of RNA-protein machines,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2018.0,1287624.0,28,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Bioengineering,Structural bases of the functions of RNA-protein machines,1.29
9481220,"Costa P01Early Indicators, Intergenerational Processes, and Aging",NATIONAL INSTITUTE ON AGING,2018.0,2088806.0,14,NATIONAL INSTITUTE OF MENTAL HEALTH: Neurosciences,"Costa P01Early Indicators, Intergenerational Processes, and Aging",2.09
8519106,Muscle Stem Cells in Pharyngeal Physiology and Dysphagia,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2013.0,30912.0,37,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Muscle Stem Cells in Pharyngeal Physiology and Dysphagia,0.03
7883274,Pathobiology of digestive diseases,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2010.0,312321.0,3,NATIONAL CANCER INSTITUTE: Clinical Research,Pathobiology of digestive diseases,0.31
9098768,The function of YPEL3 in the nervous system,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2016.0,209250.0,38,NATIONAL CANCER INSTITUTE: Genetics,The function of YPEL3 in the nervous system,0.21
9763382,Kentucky Occupational Safety and Health Surveillance,NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,2019.0,331609.0,2,FOOD AND DRUG ADMINISTRATION: Clinical Research,Kentucky Occupational Safety and Health Surveillance,0.33
6452891,TRAINING GRANT IN TUMOR BIOLOGY,NATIONAL CANCER INSTITUTE,2002.0,320879.0,6,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,TRAINING GRANT IN TUMOR BIOLOGY,0.32
10226972,Translating an Evidence-based Urban Asthma Program for Rural Adolescents:  Testing Effectiveness & Cost-effectiveness and Understanding Factors Associated with Implementation,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2021.0,622410.0,17,NATIONAL CANCER INSTITUTE: Clinical Research,Translating an Evidence-based Urban Asthma Program for Rural Adolescents:  Testing Effectiveness & Cost-effectiveness an,0.62
10239919,Using Remote Sensing Technology to Assess Parent-Infant Interactions as a Mechanism Linking COVID-related Stress and Infant Neurobehavioral Functioning,NATIONAL INSTITUTE ON DRUG ABUSE,2021.0,234822.0,13,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Using Remote Sensing Technology to Assess Parent-Infant Interactions as a Mechanism Linking COVID-related Stress and Inf,0.23
8055393,Urate as a Predictor of Parkinson's Disease Risk and Progression,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2011.0,671891.0,49,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Clinical Research",Urate as a Predictor of Parkinson's Disease Risk and Progression,0.67
8734145,Eukaryotic Transcriptional Regulation,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2013.0,1931622.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Eukaryotic Transcriptional Regulation,1.93
6845408,Cell Cycle Dependent Mechanisms of Renal Hypertrophy,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2005.0,200972.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Cell Cycle Dependent Mechanisms of Renal Hypertrophy,0.2
8108846,Arginase Production in Cancer: Evading Immune Response,NATIONAL CANCER INSTITUTE,2011.0,279922.0,35,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Arginase Production in Cancer: Evading Immune Response,0.28
6736503,Extensible System for Disseminating Polysomnography Data,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2003.0,100000.0,2,FOOD AND DRUG ADMINISTRATION: Clinical Research,Extensible System for Disseminating Polysomnography Data,0.1
6898843,Impaired Tumoricidal Activity Of DCs in HNC Patients,NATIONAL INSTITUTE OF DENTAL &CRANIOFACIAL RESEARCH,2005.0,315478.0,38,NATIONAL CANCER INSTITUTE: Genetics,Impaired Tumoricidal Activity Of DCs in HNC Patients,0.32
7228388,Appalachian Tri-State NODE,NATIONAL INSTITUTE ON DRUG ABUSE,2006.0,187615.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Appalachian Tri-State NODE,0.19
9120723,Research and Mentoring in AA-related Mechanisms of Change,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,2016.0,175610.0,13,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Research and Mentoring in AA-related Mechanisms of Change,0.18
6629897,Analysis of human chromosome 13q neocentromere formation,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2003.0,294650.0,32,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Analysis of human chromosome 13q neocentromere formation,0.29
10765586,Towards a mechanistic understanding of the role of gut microbiota in postnatal growth impairment,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2023.0,2500.0,50,NATIONAL CANCER INSTITUTE: Clinical Research,Towards a mechanistic understanding of the role of gut microbiota in postnatal growth impairment,0.0
10672080,Protein Trafficking In The Endosomal-Lysosomal System,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2022.0,2930227.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Protein Trafficking In The Endosomal-Lysosomal System,2.93
7556853,U of Miami PD Neuroprotection Clinical Trial Center,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2008.0,59205.0,3,NATIONAL CANCER INSTITUTE: Clinical Research,U of Miami PD Neuroprotection Clinical Trial Center,0.06
7109330,Targeting Akt/NF-kappa beta for Pancreatic Cancer Therapy,NATIONAL CANCER INSTITUTE,2006.0,328079.0,22,NATIONAL CANCER INSTITUTE: Genetics,Targeting Akt/NF-kappa beta for Pancreatic Cancer Therapy,0.33
8046411,Antibacterial activities of natural minerals and alternative treatment for infect,NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,2011.0,329230.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Antibacterial activities of natural minerals and alternative treatment for infect,0.33
8874947,Cytokine Inflammatory Mediators and Mucin Regulation in Middle Ear Epithelium,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2015.0,320665.0,36,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Cytokine Inflammatory Mediators and Mucin Regulation in Middle Ear Epithelium,0.32
7884545,Coordination of Inducible Alternative Splicing Networks in Human T Cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2010.0,308880.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Coordination of Inducible Alternative Splicing Networks in Human T Cells,0.31
8146967,Epidermal growth factor regulation of miR-125a promotes invasive ovarian cancer,NATIONAL CANCER INSTITUTE,2011.0,241530.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Epidermal growth factor regulation of miR-125a promotes invasive ovarian cancer,0.24
9983169,Collaborative Research Training in Thrombosis and Inflammation,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2020.0,344389.0,7,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,Collaborative Research Training in Thrombosis and Inflammation,0.34
10508548,Patterning human forebrain organoids by engineering controlled biochemical microenvironment,NATIONAL INSTITUTE OF MENTAL HEALTH,2022.0,185922.0,47,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Genetics,Patterning human forebrain organoids by engineering controlled biochemical microenvironment,0.19
7416677,Colonoscope Force Monitor,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2008.0,417343.0,44,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING: Bioengineering,Colonoscope Force Monitor,0.42
9592549,Del-1: Molecular and Cellular Targets in Periodontitis,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2019.0,400000.0,40,NATIONAL CANCER INSTITUTE: Genetics,Del-1: Molecular and Cellular Targets in Periodontitis,0.4
7575199,Immunotherapy of mesothelin expressing tumors with lentiviral engineered T cells,NATIONAL CANCER INSTITUTE,2009.0,266186.0,46,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Biotechnology,Immunotherapy of mesothelin expressing tumors with lentiviral engineered T cells,0.27
10655295,Postpartum Intervention for Mothers with Opioid Use Disorders - Brain-Behavior Mechanisms,NATIONAL INSTITUTE ON DRUG ABUSE,2023.0,389331.0,13,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Postpartum Intervention for Mothers with Opioid Use Disorders - Brain-Behavior Mechanisms,0.39
7405384,Role of Fra-1 in Mesothelioma,NATIONAL CANCER INSTITUTE,2008.0,139768.0,29,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Genetics",Role of Fra-1 in Mesothelioma,0.14
10704746,Preclinical Characterization of CRAC Channel Inhibitors for the Treatment of Alzheimer's Disease,NATIONAL INSTITUTE ON AGING,2023.0,1223378.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,Preclinical Characterization of CRAC Channel Inhibitors for the Treatment of Alzheimer's Disease,1.22
